"Bankrupt","Year","AR_by_OpIncome","FB_Plus_OpInc_ByFB","PercentMedicaidDays","PercentMedicareDays","CurrentRatio","Debt2Equity","DaysSalesOutstanding","LaborCompRatio","OpProfitMargin","DaysCashOnHand","BedUtil","AdjPxDays","Alt1Ohls3","AltmanX2","AltmanX3","AltmanX4","OhlsonX1","OhlsonX2","OhlsonX4","OhlsonX6","OhlsonX7","OhlsonX9","OhlsonX5","OhlsonX8","Govt","Urban","ForProfit","HC1","HC2","HC4","HC5","AR_by_OpIncome.y.1.","FB_Plus_OpInc_ByFB.y.1.","PercentMedicaidDays.y.1.","PercentMedicareDays.y.1.","CurrentRatio.y.1.","Debt2Equity.y.1.","DaysSalesOutstanding.y.1.","LaborCompRatio.y.1.","OpProfitMargin.y.1.","DaysCashOnHand.y.1.","BedUtil.y.1.","AdjPxDays.y.1.","Alt1Ohls3.y.1.","AltmanX2.y.1.","AltmanX3.y.1.","AltmanX4.y.1.","OhlsonX1.y.1.","OhlsonX2.y.1.","OhlsonX4.y.1.","OhlsonX6.y.1.","OhlsonX7.y.1.","OhlsonX9.y.1.","OhlsonX5.y.1.","OhlsonX8.y.1.","HC4_5.y.1.","AR_by_OpIncome.y.2.","FB_Plus_OpInc_ByFB.y.2.","PercentMedicaidDays.y.2.","PercentMedicareDays.y.2.","CurrentRatio.y.2.","Debt2Equity.y.2.","DaysSalesOutstanding.y.2.","LaborCompRatio.y.2.","OpProfitMargin.y.2.","DaysCashOnHand.y.2.","BedUtil.y.2.","AdjPxDays.y.2.","Alt1Ohls3.y.2.","AltmanX2.y.2.","AltmanX3.y.2.","AltmanX4.y.2.","OhlsonX1.y.2.","OhlsonX2.y.2.","OhlsonX4.y.2.","OhlsonX6.y.2.","OhlsonX7.y.2.","OhlsonX9.y.2.","OhlsonX5.y.2.","OhlsonX8.y.2.","D_AR_by_OpIncome","D_FB_Plus_OpInc_ByFB","D_CurrentRatio","D_Debt2Equity","D_LiabFundBalRatio","D_DaysSalesOutstanding","D_LaborCompRatio","D_OpProfitMargin","D_DaysCashOnHand","D_BedUtil","D_AdjPxDays","D_Alt1Ohls3","D_AltmanX2","D_AltmanX3","D_AltmanX4","D_OhlsonX1","D_OhlsonX2","D_OhlsonX4","D_OhlsonX6","D_OhlsonX7","D_OhlsonX9","NegLiab.y.1.","NegLiab.y.2."
1,2008,1.487,-1.25,0.03,0.46,0.56,4.43,33.68,0.41,-0.2,-2.47,0.25,2.817891,-0.13,-0.22,-0.21,-0.25,10.67,0.87,1.79,-0.23,-0.24,-6537505,1,1,0,0,1,0,1,0,0,3.622,0.7,0.03,0.46,1.38,1.63,70.8,0.39,-0.07,20.75,0.3,3.00571,0.1,-0.06,0,-0.09,10.89,0.72,0.72,-0.06,0,-2329416,0,1,0,2.47,0.97,0.03,0.46,1.88,1.38,69.66,0.37,-0.01,9.16,0.29,3.121542,0.16,0,0.07,0,10.89,0.66,0.53,0.01,0.11,0,0,0,-0.589453341,-2.785714286,-0.594202899,1.717791411,1.613899614,-0.524293785,0.051282051,1.857142857,-1.119036145,-0.166666667,-0.062487399,-2.3,2.666666667,-21,1.777777778,-0.02020202,0.208333333,1.486111111,2.833333333,-24,1.806499569,0,0
1,2010,1.488,12.81,0.04,0.2,1.06,-15.79,53.56,0.54,-0.34,4.73,0.52,6.828595,0.03,0,-0.31,0,12.09,1.03,0.95,0,-0.3,-300244,0,1,0,0,1,1,0,0,0,0.153,16.83,0.04,0.2,1.41,-21.06,50.55,0.62,-0.43,2.69,0.62,6.886066,0.15,-0.31,-0.42,-0.3,11.86,1.03,0.71,-0.17,-0.41,-29971054,0,1,0,0.164,-0.31,0.04,0.2,0.85,1.58,47.95,0.57,-0.28,6.91,0.55,7.102795,-0.05,-0.22,-0.27,-0.3,11.94,0.75,1.17,-0.08,-0.36,-23534934,1,1,8.725490196,-0.23885918,-0.24822695,-0.250237417,0.14788515,0.059545005,-0.129032258,-0.209302326,0.758364312,-0.161290323,-0.008345984,-0.8,-1,-0.261904762,-1,0.019392917,0,0.338028169,-1,-0.268292683,-0.989982201,0,0
1,2018,1.544,0.78,0.1,0.52,1.95,0.32,115.16,0.43,-0.14,-4.85,0.24,1.410579,0.22,-0.16,-0.12,-0.7,10.22,0.23,0.51,-0.16,-0.53,-3040917,0,1,0,1,1,0,0,0,0,4.537,1.36,0.1,0.52,2.68,0.32,86.11,0.32,0.21,-2.09,0.23,1.401335,0.27,1.88,0.35,11.72,10.32,0.16,0.37,-0.09,2.18,39834861,0,1,0,0.128,1.3,0.1,0.52,0.19,0.32,116.08,0.45,-0.3,-2.23,0.24,1.541478,-1.64,-0.27,-0.26,-0.13,10.35,2.01,5.33,-0.27,-0.13,-5863126,1,1,-0.659687018,-0.426470588,-0.27238806,0,0.526315789,0.337359192,0.34375,-1.666666667,1.320574163,0.043478261,0.006596567,-0.185185185,-1.085106383,-1.342857143,-1.059726962,-0.009689922,0.4375,0.378378378,0.777777778,-1.243119266,-1.076338085,0,0
1,2017,1.506,-0.17,0.01,0.57,0.3,0.23,48.92,0.56,-0.23,7,0.25,1.716667,-0.5,-0.32,-0.18,-0.42,9.76,0.77,3.34,-0.22,-0.23,-3882304,1,1,0,1,0,1,0,0,0,1.513,0.51,0.01,0.57,0.49,0.13,66.03,0.56,-0.2,1.19,0.25,1.917359,-0.27,-0.18,-0.12,-0.32,10,0.57,2.06,-0.19,-0.22,-2820139,1,1,0,2.35,0.69,0.01,0.57,1.72,0.93,61.37,0.54,-0.15,-1.41,0.32,2.216041,0.09,-0.14,-0.06,-0.26,10.3,0.54,0.58,-0.13,-0.12,-2907338,0,1,-0.00462657,-1.333333333,-0.387755102,0.769230769,1.563909774,-0.25912464,0,0.15,4.882352941,0,-0.104671061,0.851851852,0.777777778,0.5,0.3125,-0.024,0.350877193,0.621359223,0.157894737,0.045454545,0.376635691,0,0
1,2020,1.453,1.12,0.08,0.26,0.44,-0.72,37.04,0.52,-0.05,21.37,0.5,8.693991,-0.76,-0.01,-0.09,0,11.69,2.27,2.28,0.05,-0.04,-778079,1,0,0,0,0,0,1,0,0,0.076,1.42,0.08,0.26,0.46,-0.7,53.68,0.62,-0.19,19.54,0.55,9.733034,-0.72,-1.14,-0.42,-0.54,11.8,2.13,2.17,-0.4,-0.2,-105840723,1,1,0,0.042,-72.98,0.08,0.26,1.02,73.74,57.03,0.61,-0.37,10.7,0.6,10.025539,0.01,0,-0.5,0,12.22,0.99,0.98,-0.48,-0.5,0,0,1,18.11842105,-0.211267606,-0.043478261,0.028571429,-0.052910053,-0.309985097,-0.161290323,-0.736842105,0.093654043,-0.090909091,-0.106754276,0.055555556,-0.99122807,-0.785714286,-1,-0.009322034,0.0657277,0.050691244,-1.125,-0.8,-0.992648586,0,0
1,2014,3.304,0.72,0.22,0.3,0.98,1.98,48.8,0.5,-0.04,2.52,0.4,3.268594,-0.01,0.05,0.03,0.06,11.07,0.81,1.02,0.03,0.04,2222744,0,0,0,1,0,0,0,1,0,0.173,-0.04,0.22,0.3,0.86,2.61,46.32,0.59,-0.11,1.13,0.41,3.106545,-0.06,-0.07,-0.05,-0.08,10.96,0.85,1.17,-0.07,-0.06,-2772787,0,1,1,2.273,0.6,0.22,0.3,0.81,1.6,49.41,0.58,-0.06,6.97,0.43,2.946332,-0.08,0.05,0.02,0.07,10.99,0.79,1.24,0,0.03,2163159,0,0,18.0982659,-19,0.139534884,-0.24137931,-0.211469534,0.053540587,-0.152542373,-0.636363636,1.230088496,-0.024390244,0.052163738,-0.833333333,-1.714285714,-1.6,-1.75,0.010036496,-0.047058824,-0.128205128,-1.428571429,-1.666666667,-1.801628109,0,0
1,2013,0.128,0.79,0.02,0.39,2.36,0.27,56.83,0.74,-0.14,38.21,0.5,3.726193,0.2,-0.08,-0.07,-0.25,11.03,0.33,0.42,-0.08,-0.22,-3559112,0,1,0,0,0,1,0,0,0,0.184,0.84,0.02,0.39,2.83,0.23,61.56,0.72,-0.12,53.3,0.51,3.745805,0.25,-0.05,-0.06,-0.17,11.1,0.3,0.35,-0.05,-0.19,-2333716,0,1,0,2.072,0.99,0.02,0.39,4.38,0.2,56.91,0.63,-0.01,99.32,0.57,3.89996,0.4,0.03,0.05,0.11,11.13,0.26,0.23,0.03,0.2,1407814,0,0,-0.304347826,-0.05952381,-0.166077739,0.173913043,0.166666667,-0.076835608,0.027777778,0.166666667,-0.283114447,-0.019607843,-0.005235724,-0.2,0.6,0.166666667,0.470588235,-0.006306306,0.1,0.2,0.6,0.157894737,0.525083601,0,0
1,2019,0.103,2.79,0.06,0.3,0.41,-0.23,41.95,0.43,-0.11,8.33,0.61,5.032925,-0.67,-0.42,-0.16,-0.36,10.65,1.16,2.45,-0.28,-0.14,-12387512,1,1,0,0,0,1,0,0,0,0.075,-1.02,0.06,0.3,0.66,0.2,50.67,0.43,-0.18,12.53,0.61,5.548293,-0.26,-0.79,-0.3,-0.99,10.9,0.8,1.53,-0.39,-0.37,-29671292,1,1,0,3.543,1,0.06,0.3,1.2,0.06,48.51,0.39,0,0,0.58,5.219291,0.08,0.02,0.07,0.05,11.45,0.43,0.83,0.05,0.17,1401453,0,0,0.373333333,-3.735294118,-0.378787879,-2.15,-2.87371134,-0.172093941,0,-0.388888889,-0.335195531,0,-0.092887668,1.576923077,-0.46835443,-0.466666667,-0.636363636,-0.02293578,0.45,0.60130719,-0.282051282,-0.621621622,-0.582508507,0,0
1,2016,0.146,0.51,0.12,0.2,2.34,0.32,116.71,0.58,-0.22,13.19,0.1,0.59576,0.41,0.19,-0.32,0.62,8.45,0.31,0.43,-0.09,-1.05,613742,1,1,1,1,0,0,0,0,0,0.007,0.35,0.12,0.2,1.35,0.32,5.64,0.61,-0.23,57.98,0.07,0.5124,0.12,-0.8,-0.41,-2.42,8.17,0.33,0.74,-0.03,-1.23,-1970825,1,1,0,1.521,0.84,0.12,0.2,7.18,0.32,123.18,0.56,-0.12,76.86,0.1,0.559176,0.61,0.22,-0.13,2.28,8.66,0.1,0.14,0.22,-1.32,901801,1,0,19.85714286,0.457142857,0.733333333,0,-0.102040816,19.69326241,-0.049180328,-0.043478261,-0.772507761,0.428571429,0.162685402,2.416666667,-1.2375,-0.219512195,-1.256198347,0.034271726,-0.060606061,-0.418918919,2,-0.146341463,-1.311413748,0,0
1,2017,2.846,0.26,0.01,0.26,0.99,3.55,51.07,0.48,-0.14,0.48,0.27,3.427124,0,0.39,-0.1,0.48,10.74,0.82,1.01,-0.13,-0.12,12709611,1,1,0,1,0,0,1,0,0,0.949,1.14,0.01,0.26,0.23,-0.56,64.06,0.39,-0.03,-2.13,0.34,3.327273,-0.86,-0.12,0.03,-0.09,10.56,1.25,4.35,-0.02,0.03,-3158383,1,1,0,8.543,0.59,0.01,0.26,0.27,-0.36,74.68,0.37,0.04,-2.27,0.33,3.325636,-0.79,-0.11,0.09,-0.1,10.62,1.13,3.67,0.08,0.08,-3074643,1,0,1.998946259,-0.771929825,3.304347826,-7.339285714,-1.896969697,-0.202778645,0.230769231,3.666666667,-1.225352113,-0.205882353,0.030009861,-1,-4.25,-4.333333333,-6.333333333,0.017045455,-0.344,-0.767816092,5.5,-5,-5.024087959,0,0
